Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/22/2022,07/24/2022,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.22,
07/21/2022,07/22/2022,JOANN STORES*JOANN.COM,Shopping,Sale,-62.32,
07/19/2022,07/20/2022,ARTIST &amp; CRAFTSMAN SEAWA,Shopping,Return,10.45,
07/19/2022,07/20/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-110.72,
07/19/2022,07/20/2022,TRADER JOE'S #137  QPS,Groceries,Return,3.99,
07/19/2022,07/20/2022,AMZN Mktp US*9W96H1KD3,Shopping,Sale,-8.43,
07/19/2022,07/20/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-48.40,
07/18/2022,07/19/2022,MOUSER ELECTRONICS INC,Home,Sale,-0.81,
07/18/2022,07/19/2022,MOUSER ELECTRONICS INC,Home,Sale,-54.63,
07/16/2022,07/18/2022,UW MEDICINE,Health & Wellness,Sale,-52.70,
07/15/2022,07/17/2022,PCC - FREMONT,Groceries,Sale,-30.83,
07/15/2022,07/17/2022,AMZN Mktp US*R98ES08Y3,Shopping,Sale,-8.26,
07/16/2022,07/17/2022,AMZN Mktp US*NR6UR9E33,Shopping,Sale,-41.88,
07/16/2022,07/17/2022,AMZN Mktp US*Y12MA8SM3,Shopping,Sale,-15.42,
07/14/2022,07/14/2022,NESPRESSO USA INC,Groceries,Sale,-120.00,
07/14/2022,07/14/2022,AMZN Mktp US*K00BX27Y3,Shopping,Sale,-44.09,
07/13/2022,07/14/2022,QFC 5869,Groceries,Sale,-8.48,
07/14/2022,07/14/2022,AMZN Mktp US*3O5WY24P3,Shopping,Sale,-67.23,
07/11/2022,07/13/2022,SEATTLE CANCER CARE ALLI,Health & Wellness,Sale,-33.28,
07/12/2022,07/13/2022,SQ *LIGHTHOUSE ROASTERS,Food & Drink,Sale,-16.04,
07/11/2022,07/12/2022,AMZN Mktp US*XX7PQ8I33,Shopping,Sale,-39.68,
07/11/2022,07/12/2022,SEATTLE PUBLIC UTILITIES,Bills & Utilities,Sale,-486.83,
07/11/2022,07/12/2022,MULTICARE DONATION,Gifts & Donations,Sale,-85.00,
07/11/2022,07/12/2022,SEATTLE CITY LIGHT,Bills & Utilities,Sale,-429.39,
07/11/2022,07/12/2022,FRED MEYER 0608,Groceries,Sale,-119.16,
07/08/2022,07/10/2022,IKEA SEATLE,Home,Sale,-41.20,
07/10/2022,07/10/2022,AMZN Mktp US*ZR0TW8FP3,Shopping,Sale,-71.63,
07/08/2022,07/10/2022,Amazon Prime*BH26S35T3,Bills & Utilities,Sale,-153.25,
07/08/2022,07/10/2022,JOANN STORES #1950,Shopping,Sale,-31.13,
07/08/2022,07/10/2022,JOANN STORES #1950,Shopping,Return,15.43,
07/07/2022,07/10/2022,DELTA AIR   Baggage Fee,Travel,Sale,-30.00,
07/08/2022,07/10/2022,UAF  ARCTIC JAVA,Food & Drink,Sale,-10.45,
07/08/2022,07/10/2022,IKEA SEATLE,Home,Return,14.30,
07/07/2022,07/08/2022,SQ *SUNSHINE HEALTH FOODS,Shopping,Sale,-12.65,
07/03/2022,07/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,3185.53,
06/30/2022,07/03/2022,DELTA AIR   Seat Fees,Travel,Sale,-39.99,
07/01/2022,07/03/2022,FRED MEYER 0485,Groceries,Sale,-35.51,
07/02/2022,07/03/2022,COSTCO *ANNUAL RENEWAL,Personal,Sale,-60.00,
06/30/2022,07/03/2022,DELTA AIR   UPGRADE,Travel,Sale,-41.93,
07/01/2022,07/03/2022,AMZN Mktp US*L21W30OF3,Shopping,Sale,-42.44,
06/30/2022,07/03/2022,TST* Floret - SeaTac Airp,Food & Drink,Sale,-11.73,
06/30/2022,07/01/2022,ARTIST &amp; CRAFTSMAN SEAWA,Shopping,Sale,-15.50,
06/30/2022,07/01/2022,SQ *LEMONGRASS THAI CUISI,Food & Drink,Sale,-75.90,
06/29/2022,07/01/2022,LUFTHANSA   2202478888078,Travel,Sale,-4021.73,
06/20/2022,07/01/2022,DELTA AIR   0067821778351,Travel,Sale,-425.00,
06/30/2022,07/01/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-78.19,
06/20/2022,07/01/2022,DELTA AIR   0067821778343,Travel,Sale,-425.00,
06/29/2022,07/01/2022,DELTA AIR   Baggage Fee,Travel,Sale,-30.00,
06/29/2022,06/30/2022,DROPBOX*NGFFVH2BVF7G,Bills & Utilities,Sale,-13.22,
06/29/2022,06/30/2022,WA SECRETARY OF STATE,Bills & Utilities,Sale,-60.00,
06/29/2022,06/30/2022,WA VEHICLE LICENSING,Bills & Utilities,Sale,-175.36,
06/28/2022,06/29/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
06/28/2022,06/29/2022,SLACK TTS9Y46VC,Shopping,Sale,-1.32,
06/27/2022,06/28/2022,PAYPAL *BOYCERESEAR,Gifts & Donations,Sale,-960.00,
06/25/2022,06/27/2022,PCC - FREMONT,Groceries,Sale,-10.05,
06/26/2022,06/27/2022,FRED MEYER 0608,Groceries,Sale,-81.75,
06/24/2022,06/26/2022,ONTARIO AIRPORT,Food & Drink,Sale,-10.78,
06/24/2022,06/26/2022,AAA WA MEMBERSHIP 00,Automotive,Sale,-157.00,
06/24/2022,06/26/2022,EXXONMOBIL    97599450,Gas,Sale,-48.61,
06/24/2022,06/26/2022,DELTA AIR   Baggage Fee,Travel,Sale,-30.00,
06/24/2022,06/26/2022,THRIFTY #0071314,Travel,Sale,-366.25,
06/24/2022,06/26/2022,DELTA AIR   Baggage Fee,Travel,Sale,-30.00,
06/23/2022,06/24/2022,LILACPATISSERIE_1,Food & Drink,Sale,-11.76,
06/22/2022,06/23/2022,GOOGLE *YouTubePremium,Shopping,Sale,-13.22,
06/21/2022,06/23/2022,SOUTH COAST DELI CARRILL,Food & Drink,Sale,-35.72,
06/20/2022,06/21/2022,TRADER JOE'S #059  QPS,Groceries,Sale,-69.21,
06/19/2022,06/21/2022,SHARKYS WOODFIRED MEXI,Food & Drink,Sale,-13.80,
06/19/2022,06/20/2022,76 - GSE 256884,Gas,Sale,-73.72,
06/19/2022,06/20/2022,AIRBNB  HMZJSBYWJ3,Travel,Sale,-476.24,
06/20/2022,06/20/2022,NYTIMES,Bills & Utilities,Sale,-51.15,
06/19/2022,06/20/2022,SQ *SIMPLY COFFEE BURBANK,Groceries,Sale,-4.50,
06/16/2022,06/19/2022,SPROUTS FARMERS MAR,Groceries,Sale,-20.61,
06/17/2022,06/19/2022,RALPHS 0096,Groceries,Sale,-17.05,
06/17/2022,06/19/2022,CALTECH DINING SVCS.,Food & Drink,Sale,-4.19,
06/16/2022,06/19/2022,PASADENA PARKING - LOS RO,Travel,Sale,-7.50,
06/16/2022,06/17/2022,RALPHS 0712,Groceries,Sale,-3.99,
06/15/2022,06/16/2022,MAYURA METRO GROCERY &amp; H,Groceries,Sale,-12.46,
06/13/2022,06/15/2022,85C BAKERY CAFE USA,Food & Drink,Sale,-5.75,
06/13/2022,06/14/2022,PAS*PASSPT PASSAD PRK,Travel,Sale,-1.03,
06/13/2022,06/14/2022,NOAH'S BAGELS #2160,Food & Drink,Sale,-6.67,
06/12/2022,06/13/2022,UBER   TRIP,Travel,Sale,-69.12,
06/11/2022,06/13/2022,KCTS9 - CROSSCUT,Gifts & Donations,Sale,-60.00,
06/11/2022,06/13/2022,ALASKA AIR  0272301749685,Travel,Sale,-30.00,
06/12/2022,06/13/2022,TRADER JOE'S #217  QPS,Groceries,Sale,-190.15,
06/11/2022,06/13/2022,ALASKA AIR  0272301749684,Travel,Sale,-30.00,
06/12/2022,06/13/2022,TRADER JOE'S #252 QPS,Groceries,Sale,-8.28,
06/09/2022,06/10/2022,PAYPAL *BOYCERESEAR,Gifts & Donations,Sale,-50.00,
06/08/2022,06/09/2022,FRED MEYER 0608,Groceries,Sale,-81.07,
06/08/2022,06/09/2022,FRED MEYER 0608,Groceries,Return,34.73,
06/07/2022,06/09/2022,PCC - FREMONT,Groceries,Sale,-16.33,
06/07/2022,06/08/2022,DRI*KASPERSKY LAB,Shopping,Sale,-132.28,
06/07/2022,06/08/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-40.69,
06/06/2022,06/08/2022,PCC - FREMONT,Groceries,Sale,-17.96,
06/03/2022,06/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,2846.86,
06/02/2022,06/03/2022,LS BIKE SWIFT LLC,Shopping,Sale,-93.71,
06/01/2022,06/03/2022,SEATTLE CANCER CARE ALLI,Health & Wellness,Sale,-66.56,
06/03/2022,06/03/2022,WWW COSTCO COM,Shopping,Sale,-31.95,
06/02/2022,06/03/2022,FEDEX OFFIC51800051847,Personal,Sale,-39.25,
06/01/2022,06/02/2022,COSTCO GAS #0106,Gas,Sale,-66.72,
06/01/2022,06/02/2022,COSTCO WHSE #0106,Shopping,Sale,-259.99,
05/30/2022,06/01/2022,STARBUCKS STORE 03702,Food & Drink,Sale,-20.00,
05/31/2022,05/31/2022,AIRBNB  HMHRYN5EHN,Travel,Sale,-897.42,
05/29/2022,05/30/2022,AIDSLIFECYCLE-2022,Gifts & Donations,Sale,-103.00,
05/29/2022,05/30/2022,AMZN Mktp US*YB7B84P63,Shopping,Sale,-15.42,
05/29/2022,05/30/2022,DROPBOX*GYXXGDPJJLXQ,Bills & Utilities,Sale,-13.22,
05/27/2022,05/29/2022,AMZN Mktp US*1R5GE62Y0,Shopping,Sale,-29.30,
05/27/2022,05/29/2022,PCC - FREMONT,Groceries,Sale,-23.02,
05/28/2022,05/29/2022,SLACK TTS9Y46VC,Shopping,Sale,-1.32,
05/28/2022,05/29/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
05/26/2022,05/27/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-109.50,
05/26/2022,05/27/2022,AMZN Mktp US*1R0JC3HZ0,Shopping,Sale,-19.02,
05/25/2022,05/27/2022,USPS KIOSK 5476439565,Shopping,Sale,-11.65,
05/24/2022,05/26/2022,THE MAZAMA STORE - WA,Groceries,Sale,-36.79,
05/24/2022,05/26/2022,E 20 PIZZA,Food & Drink,Sale,-157.86,
05/24/2022,05/25/2022,EVERGREEN VILLAGE M,Groceries,Sale,-23.62,
05/23/2022,05/25/2022,THE MAZAMA STORE - WA,Groceries,Sale,-29.88,
05/22/2022,05/23/2022,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.22,
05/20/2022,05/22/2022,FRED MEYER 0608,Groceries,Sale,-75.73,
05/21/2022,05/22/2022,SQ *SHERIS SWEET SHOPPE,Groceries,Sale,-94.21,
05/17/2022,05/18/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-110.81,
05/15/2022,05/16/2022,FS *TechSmith,Shopping,Sale,-38.57,
05/13/2022,05/15/2022,PAGLIACCI MADISON,Food & Drink,Sale,-73.83,
05/14/2022,05/15/2022,SQ *BRANFORD BIKE,Shopping,Sale,-432.17,
05/12/2022,05/15/2022,THE HOME DEPOT 4706,Home,Return,25.19,
05/12/2022,05/13/2022,COSTCO WHSE #0106,Shopping,Sale,-144.01,
05/12/2022,05/13/2022,COSTCO WHSE #0106,Shopping,Return,32.24,
05/12/2022,05/13/2022,JOANN STORES #805,Shopping,Sale,-15.43,
05/12/2022,05/13/2022,COSTCO WHSE #0106,Shopping,Return,12.48,
05/10/2022,05/11/2022,QFC 5869,Groceries,Sale,-6.44,
05/10/2022,05/11/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-130.72,
05/10/2022,05/10/2022,HARRYS 888-212-6855,Shopping,Sale,-16.54,
05/06/2022,05/08/2022,AMZN Mktp US*135DF0LY0,Shopping,Sale,-14.38,
05/04/2022,05/06/2022,PCC - FREMONT,Groceries,Sale,-9.03,
05/05/2022,05/06/2022,AMZN Mktp US*1Q3DF3Y40,Shopping,Sale,-19.02,
05/05/2022,05/06/2022,FRED MEYER 0608,Groceries,Sale,-28.22,
05/05/2022,05/06/2022,AMZN Mktp US*137L40WH1,Shopping,Sale,-14.33,
05/03/2022,05/04/2022,FRED MEYER 0608,Groceries,Return,4.95,
05/03/2022,05/04/2022,FRED MEYER 0608,Groceries,Sale,-106.03,
05/03/2022,05/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,5082.65,
05/01/2022,05/01/2022,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
04/28/2022,04/29/2022,FRED MEYER 0608,Groceries,Sale,-4.95,
04/29/2022,04/29/2022,AMZN Mktp US*1Q6KL7LQ0,Shopping,Sale,-12.12,
04/28/2022,04/29/2022,SLACK TTS9Y46VC,Shopping,Sale,-2.33,
04/28/2022,04/29/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
04/28/2022,04/29/2022,FRED MEYER 0608,Groceries,Return,6.60,
04/28/2022,04/29/2022,FRED MEYER 0608,Groceries,Sale,-92.52,
04/28/2022,04/28/2022,AMZN Mktp US*1O9HB7YG2,Shopping,Sale,-8.81,
04/28/2022,04/28/2022,AMZN Mktp US*1Q17N0CB0,Shopping,Sale,-20.67,
04/25/2022,04/26/2022,GUARDIAN SECURITY SYSTEM,Professional Services,Sale,-105.84,
04/22/2022,04/24/2022,GOOGLE *YouTubePremium,Shopping,Sale,-13.22,
04/23/2022,04/24/2022,AMZN Mktp US*1O6QL3E62,Shopping,Sale,-9.91,
04/22/2022,04/24/2022,AMZN Mktp US*1O7ME3TU2,Shopping,Sale,-21.99,
04/21/2022,04/24/2022,THE HOME DEPOT 4706,Home,Sale,-25.19,
04/20/2022,04/22/2022,PCC - FREMONT,Groceries,Sale,-8.67,
04/21/2022,04/22/2022,COSTCO GAS #0106,Gas,Sale,-29.76,
04/21/2022,04/22/2022,COSTCO WHSE #0106,Shopping,Sale,-244.41,
04/19/2022,04/20/2022,REI.COM  800-426-4840,Shopping,Sale,-100.25,
04/19/2022,04/20/2022,QFC 5869,Groceries,Sale,-13.96,
04/17/2022,04/18/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-55.58,
04/15/2022,04/17/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-109.56,
04/10/2022,04/12/2022,CLOUD CITY COFFEE,Food & Drink,Sale,-19.49,
04/11/2022,04/12/2022,FRED MEYER 0608,Groceries,Sale,-94.04,
04/12/2022,04/12/2022,AMZN Mktp US*1A7KQ9KQ1,Shopping,Sale,-18.79,
04/12/2022,04/12/2022,Amazon.com*1H4HC49Y2,Shopping,Sale,-5.50,
04/08/2022,04/10/2022,THE MAZAMA STORE,Groceries,Sale,-10.27,
04/08/2022,04/10/2022,THE MAZAMA STORE,Groceries,Sale,-14.20,
04/07/2022,04/08/2022,THE MAZAMA STORE,Groceries,Sale,-12.90,
04/07/2022,04/08/2022,THE MAZAMA STORE,Groceries,Sale,-9.45,
04/07/2022,04/08/2022,THE MAZAMA STORE,Groceries,Sale,-11.65,
04/06/2022,04/08/2022,CITY OF LEAVENWORTH,Travel,Sale,-2.70,
04/06/2022,04/08/2022,USPS KIOSK 5476439565,Shopping,Sale,-11.60,
04/07/2022,04/08/2022,CANAKIT.COM,Shopping,Sale,-1468.55,
04/07/2022,04/08/2022,GOOGLE *Domains,Shopping,Sale,-13.23,
04/06/2022,04/08/2022,STARBUCKS STORE 03326,Food & Drink,Sale,-9.00,
04/04/2022,04/07/2022,ALASKA AIR,Travel,Sale,-31.99,
04/04/2022,04/07/2022,ALASKA AIR,Travel,Sale,-31.99,
04/04/2022,04/06/2022,DELTA AIR   0067725875332,Travel,Sale,-223.60,
04/04/2022,04/06/2022,DELTA AIR   0067725875331,Travel,Sale,-223.60,
04/05/2022,04/06/2022,JOANN STORES*JOANN.COM,Shopping,Sale,-10.87,
04/04/2022,04/06/2022,ALASKA AIR  0277725875330,Travel,Sale,-158.60,
04/04/2022,04/06/2022,ALASKA AIR  0277725875329,Travel,Sale,-158.60,
04/04/2022,04/05/2022,PY *Society for Astronomi,Gifts & Donations,Sale,-25.00,
04/04/2022,04/05/2022,CHILI'S SOUTH INDIAN,Food & Drink,Sale,-31.00,
04/04/2022,04/05/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-119.63,
04/04/2022,04/05/2022,JOANN STORES*JOANN.COM,Shopping,Sale,-5.06,
04/04/2022,04/05/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-44.07,
04/04/2022,04/05/2022,AAS,Gifts & Donations,Sale,-275.00,
04/04/2022,04/05/2022,EXPEDIA 72279592678622,Travel,Sale,-719.58,
04/03/2022,04/04/2022,JOANN STORES*JOANN.COM,Shopping,Sale,-3.96,
04/04/2022,04/04/2022,AIRBNB  HMHRYN5EHN,Travel,Sale,-224.36,
04/03/2022,04/04/2022,QFC 5869,Groceries,Sale,-8.17,
04/03/2022,04/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,1256.14,
03/31/2022,04/03/2022,PCC - FREMONT,Groceries,Sale,-23.75,
04/01/2022,04/01/2022,Amazon.com*161XW3VO2,Shopping,Sale,-55.11,
03/28/2022,03/30/2022,TACO DEL MAR 100001404,Food & Drink,Sale,-9.36,
03/28/2022,03/29/2022,SHARP ELECTRONICS ROMEOV,Shopping,Sale,-50.00,
03/28/2022,03/29/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
03/28/2022,03/28/2022,NYTIMES,Bills & Utilities,Sale,-61.38,
03/26/2022,03/28/2022,PCC - FREMONT,Groceries,Sale,-10.33,
03/25/2022,03/27/2022,JOANN STORES #805,Shopping,Sale,-40.89,
03/25/2022,03/27/2022,COSTCO WHSE #0106,Shopping,Sale,-212.41,
03/22/2022,03/23/2022,GOOGLE *YouTubePremium,Entertainment,Sale,-13.22,
03/20/2022,03/22/2022,DELTA AIR   0067722997863,Travel,Sale,-451.00,
03/20/2022,03/21/2022,PAYPAL *FOLKSCHOOL,Gifts & Donations,Sale,-950.00,
03/20/2022,03/21/2022,AMZN Mktp US*1N8Z97CO2,Shopping,Sale,-264.48,
03/20/2022,03/21/2022,EXPEDIA 72270347603890,Travel,Sale,-29.32,
03/18/2022,03/20/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-91.42,
03/19/2022,03/20/2022,AMZN Mktp US*1N8BW86J1,Shopping,Sale,-14.87,
03/18/2022,03/20/2022,FRED MEYER 0608,Groceries,Sale,-36.66,
03/18/2022,03/20/2022,FRED MEYER 0608,Groceries,Sale,-127.34,
03/16/2022,03/17/2022,SQ *RACHEL'S HAIR DESIGN,Personal,Sale,-48.00,
03/14/2022,03/16/2022,PCC - FREMONT,Groceries,Sale,-7.18,
03/14/2022,03/15/2022,AMZN Mktp US*1Z3QY6YH1,Shopping,Sale,-4.74,
03/11/2022,03/13/2022,COSTCO GAS #0106,Gas,Sale,-43.76,
03/12/2022,03/13/2022,FLEXIBITS FANTASTICAL,Shopping,Sale,-31.99,
03/11/2022,03/13/2022,COSTCO WHSE #0106,Shopping,Sale,-187.55,
03/11/2022,03/13/2022,JOANN STORES #805,Shopping,Sale,-31.74,
03/08/2022,03/09/2022,QFC 5869,Groceries,Sale,-4.95,
03/08/2022,03/09/2022,AMZN Mktp US*1W02B0YM0,Shopping,Sale,-32.18,
03/07/2022,03/08/2022,AMZN Mktp US,Shopping,Return,21.50,
03/06/2022,03/08/2022,PCC - FREMONT,Groceries,Sale,-19.52,
03/03/2022,03/06/2022,ESPRESSO VIVACE SEATTLE,Food & Drink,Sale,-5.41,
03/04/2022,03/06/2022,FRED MEYER 0608,Groceries,Sale,-112.36,
03/03/2022,03/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,1294.63,
03/02/2022,03/03/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-53.00,
02/28/2022,03/01/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
02/28/2022,03/01/2022,AMZN Mktp US*1I1014930,Shopping,Sale,-29.76,
02/27/2022,02/28/2022,H&amp;M0158,Shopping,Return,17.85,
02/27/2022,02/28/2022,HM.COM,Shopping,Return,29.77,
02/27/2022,02/28/2022,H&amp;M0158,Shopping,Sale,-4.41,
02/28/2022,02/28/2022,AMZN Mktp US*1I2SS3TW2,Shopping,Sale,-31.96,
02/25/2022,02/27/2022,AMZN Mktp US*1B7WD9YE2,Shopping,Sale,-48.81,
02/25/2022,02/27/2022,QFC 5869,Groceries,Sale,-3.69,
02/24/2022,02/25/2022,AMZN Mktp US*1I3AF8SI1,Shopping,Sale,-13.45,
02/24/2022,02/25/2022,AMZN Mktp US*1I1V58E40,Shopping,Sale,-7.16,
02/24/2022,02/25/2022,SQ *COPPER TREE CAFE,Food & Drink,Sale,-6.00,
02/24/2022,02/25/2022,SQ *BRANFORD BIKE,Shopping,Sale,-66.15,
02/23/2022,02/25/2022,SAFEWAY #1550,Groceries,Sale,-13.98,
02/24/2022,02/24/2022,AMZN Mktp US*1I64J36W1,Shopping,Sale,-21.50,
02/23/2022,02/24/2022,WHOLEFDS RSQ 10103,Groceries,Sale,-14.94,
02/24/2022,02/24/2022,Amazon.com*1B3Y822Z2,Shopping,Sale,-69.59,
02/22/2022,02/23/2022,GOOGLE *YouTubePremium,Shopping,Sale,-13.22,
02/21/2022,02/23/2022,PCC - FREMONT,Groceries,Sale,-3.99,
02/21/2022,02/22/2022,JOANN STORES #805,Shopping,Sale,-17.17,
02/21/2022,02/22/2022,TRADER JOE'S #270 QPS,Groceries,Sale,-55.78,
02/21/2022,02/22/2022,ARTIST &amp; CRAFTSMAN SEAWA,Shopping,Sale,-2.93,
02/21/2022,02/22/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-16.93,
02/21/2022,02/22/2022,WAL-MART #2594,Shopping,Sale,-3.21,
02/21/2022,02/22/2022,COSTCO WHSE #0106,Shopping,Sale,-134.14,
02/18/2022,02/20/2022,AMZN Mktp US*1B5DS1WR1,Shopping,Sale,-13.22,
02/14/2022,02/16/2022,PCC - FREMONT,Groceries,Sale,-7.51,
02/15/2022,02/16/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-91.03,
02/14/2022,02/14/2022,HM.COM,Shopping,Sale,-29.77,
02/14/2022,02/14/2022,HM.COM,Shopping,Sale,-33.08,
02/12/2022,02/14/2022,ANTHROPOLOGIE #0411,Shopping,Sale,-16.42,
02/11/2022,02/13/2022,USPS.COM POSTAL STORE,Shopping,Sale,-36.20,
02/12/2022,02/13/2022,H&amp;M0158,Shopping,Sale,-45.62,
02/10/2022,02/11/2022,TARGET        00012849,Shopping,Sale,-24.07,
02/09/2022,02/10/2022,FRED MEYER 0608,Groceries,Sale,-168.80,
02/06/2022,02/07/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-57.38,
02/03/2022,02/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,1571.67,
01/31/2022,02/01/2022,COSTCO GAS #0106,Gas,Sale,-38.54,
01/31/2022,02/01/2022,COSTCO WHSE #0106,Shopping,Sale,-72.19,
01/31/2022,02/01/2022,COSTCO WHSE #0106,Shopping,Return,16.51,
01/31/2022,02/01/2022,JOANN STORES #805,Shopping,Sale,-13.31,
02/01/2022,02/01/2022,GOOGLE *Google Storage,Shopping,Sale,-99.99,
01/30/2022,01/31/2022,AMZN Mktp US*9Q8WB8EF3,Shopping,Sale,-27.39,
01/28/2022,01/30/2022,MEDIUM MONTHLY,Bills & Utilities,Sale,-5.00,
01/27/2022,01/28/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-69.30,
01/26/2022,01/27/2022,TARGET        00012849,Shopping,Sale,-76.12,
01/25/2022,01/26/2022,GUARDIAN SECURITY SYSTEM,Professional Services,Sale,-123.84,
01/24/2022,01/26/2022,TACO DEL MAR 100001404,Food & Drink,Sale,-9.36,
01/23/2022,01/25/2022,CAFE SOLSTICE,Food & Drink,Sale,-16.90,
01/22/2022,01/23/2022,GOOGLE *YouTubePremium,Shopping,Sale,-13.22,
01/21/2022,01/23/2022,PCC - FREMONT,Groceries,Sale,-48.26,
01/20/2022,01/21/2022,FRED MEYER 0608,Groceries,Sale,-56.20,
01/20/2022,01/21/2022,JOANN STORES #1711,Shopping,Sale,-11.41,
01/19/2022,01/20/2022,JOANN STORES #805,Shopping,Sale,-14.36,
01/19/2022,01/20/2022,COSTCO WHSE #0106,Shopping,Sale,-221.70,
01/19/2022,01/20/2022,COSTCO WHSE #0106,Shopping,Return,28.66,
01/19/2022,01/20/2022,COSTCO WHSE #0106,Shopping,Return,9.99,
01/13/2022,01/16/2022,SAFEWAY #1550,Groceries,Sale,-21.76,
